Date,Open,High,Low,Close,Volume
2020-01-01,249.81604753894499,255.0501612136631,238.37612997327312,251.29861707972321,327997
2020-01-02,480.2857225639665,485.2252985454065,464.17707597796675,477.0095861850181,226417
2020-01-03,392.797576724562,410.92266833498275,377.5943581287588,396.5215223581102,216585
2020-01-04,339.46339367881467,344.4543176758048,336.3853955849392,340.59455606950706,654634
2020-01-05,162.40745617697462,167.84645069954723,159.42246678214514,158.97949501254416,319356
2020-01-06,162.39780813448107,177.58577338284033,157.0343207795828,167.02118870929314,485296
2020-01-07,123.23344486727979,132.2282417162906,116.01195034045904,123.41709950063299,998201
2020-01-08,446.47045830997405,462.00466944907765,438.3013466818044,442.1994428286906,726679
2020-01-09,340.4460046972835,341.75332784857125,326.85206036061663,341.7143337414342,584600
2020-01-10,383.2290311184182,392.9804549918859,382.0954224751015,380.7610201885463,546742
2020-01-11,108.23379771832097,108.90606972198663,107.54034363379964,111.270732237094,959575
2020-01-12,487.96394086479773,489.21700493390483,480.12572960591956,491.14216160045964,923219
2020-01-13,432.9770563201687,451.1058053870569,419.0337824774091,437.7665298787153,920015
2020-01-14,184.93564427131048,187.72055169366237,181.06693741218083,184.95433958155553,243635
2020-01-15,172.72998688284025,183.3784005283446,159.89989725771522,172.27955568011762,277132
2020-01-16,173.36180394137352,181.58371599338764,168.16524118256754,175.89655999583832,360609
2020-01-17,221.69689718381508,228.64376370899194,203.97517500754475,218.02160374723434,746231
2020-01-18,309.9025726528952,327.89923956664063,291.98877376756286,310.3717277908264,869822
2020-01-19,272.7780074568463,273.21447539235606,266.83226337121977,273.2404834581548,789050
2020-01-20,216.49165607921677,229.76744980272855,211.89178099995195,212.38638730732063,473377
2020-01-21,344.74115788895176,364.00904657322275,336.51507844762716,343.9209987440209,325784
2020-01-22,155.79754426081672,167.00090793005356,150.98691255721374,159.33039224648874,114925
2020-01-23,216.85785941408727,235.5943086547491,203.4101825482532,220.4193956340339,842147
2020-01-24,246.5447373174767,247.58989490319718,230.02344362651098,242.5371139666735,183184
2020-01-25,282.4279936868144,290.8038600682976,268.96615106859,278.3352025142927,700803
2020-01-26,414.07038455720544,419.2735403764465,397.58337561221845,411.69733932722477,299330
2020-01-27,179.8695128633439,194.4859321629585,171.92966961919444,183.61717348888385,760715
2020-01-28,305.69377536544465,325.3197171753896,302.56743595126744,301.98280121617967,408213
2020-01-29,336.965827544817,342.09642879370193,322.20680859686513,339.16579557109145,849695
2020-01-30,118.58016508799909,131.66365711748057,111.37067498516801,114.59182128413012,200854
2020-01-31,343.01794076057536,346.97989341577016,329.5925242559927,344.2493192980536,940903
2020-02-01,168.2096494749166,179.5162545663488,162.7967706352813,166.77032246610804,394849
2020-02-02,126.0206371941118,135.2992869278785,124.39604449797835,128.90977682377047,274981
2020-02-03,479.5542149013333,498.99432149396404,459.70257899157804,476.89111938958695,319678
2020-02-04,486.25281322982374,498.42335868375307,483.1287830712118,487.6448315237233,228501
2020-02-05,423.35893924658444,430.3490666883208,403.5905193673148,420.7157645923433,216361
2020-02-06,221.84550766934828,224.12742336710696,202.29990901801932,223.98211050046982,284811
2020-02-07,139.06884560255355,142.09378217725225,123.19248352439276,142.80562594816104,307892
2020-02-08,373.69321060486277,378.1995492038875,360.5047513632228,369.96122859613035,711561
2020-02-09,276.0609974958405,281.08033072264647,264.50485649081884,279.72695438179557,385385
2020-02-10,148.81529393791152,165.82761509473428,131.49326303035483,149.7510464820545,520630
2020-02-11,298.0707640445081,309.2952198101586,292.28197361211835,294.34186895317833,150818
2020-02-12,113.75540844608736,124.22322667357469,104.40178419638981,113.03082699968448,251967
